TSA_NUMERO,LAM_STATION_ID,TSA_NIMI,NIMI_FI,NIMI_SE,NIMI_EN,TIE,TIEOSA,ETAISYYS,TSA_PAIKKA_Y,TSA_PAIKKA_X,TSA_KORKEUS,MAAKUNNAN_NIMI,LEVEYS_ASTE,LEVEYS_MINUUTTI,LEVEYS_SEKUNTI,PITUUS_ASTE,PITUUS_MINUUTTI,PITUUS_SEKUNTI
23187,187,L_vt7_Loviisa_Kärrbacka,Tie 7 Loviisa_Kärrbacka,Väg 7 Loviisa_Kärrbacka,Road 7 Loviisa_Kärrbacka,7,17,4483,6707255,3451703,0,Uusimaa,60,28,"23,7",26,7,"7,7"
23188,188,L_vt7_Loviisa,Tie 7 Loviisa,Väg 7 Loviisa,Road 7 Loviisa,7,19,1240,6706286,3456800,0,Uusimaa,60,27,"54,4",26,12,42
23189,189,L_vt7_Loviisa_Itä,Tie 7 Loviisa_Itä,Väg 7 Loviisa_Öster,Road 7 Loviisa_East,7,20,1205,6707812,3460500,0,Uusimaa,60,28,"45,1",26,16,43
23124,124,L_vt25_Dragsvik,Tie 25 Dragsvik,Väg 25 Dragsvik,Road 25 Dragsvik,25,11,2220,6659125,3306062,0,Uusimaa,59,59,54,23,31,"13,8"
23114,114,L_vt25_Virkkala,Tie 25 Virkkala,Väg 25 Virkby,Road 25 Virkkala,25,19,5020,6680590,3334597,0,Uusimaa,60,12,"11,5",24,0,"49,5"
23129,129,L_vt25_Selki,"Tie 25 Vihti, Selki","Väg 25 Vichtis, Selki","Road 25 Vihti, Selki",25,27,1550,6707890,3364173,0,Uusimaa,60,27,"32,1",24,31,"41,1"
23133,133,L_vt25_Noppo,"Tie 25 Hyvinkää, Noppo","Tie 25 Hyvinge, Noppo","Road 25 Hyvinkää, Noppo",25,32,2220,6720820,3381460,0,Uusimaa,60,34,"49,2",24,50,"3,5"
23130,130,L_vt25_Keravanjärvi,"Tie 25 Mäntsälä, Keravanjä","Väg 25 Mäntsälä, Keravanjärv","Road 25 Mäntsälä, Keravanjärvi",25,34,5000,6724526,3395448,0,Uusimaa,60,37,"2,9",25,5,"14,4"
23153,153,L_kt45_Oulunkylä,Tie 45 Oulunkylä,Väg 45 Åggelby,Road 45 Oulunkylä,45,1,4900,6680802,3386171,0,Uusimaa,60,13,22,24,56,"34,7"
23131,131,L_kt45_Tammisto,Tie 45 Tammisto,Väg 45 Rosendal,Road 45 Tammisto,45,2,3200,6684611,3387600,0,Uusimaa,60,15,"26,4",24,57,"59,8"
